event_timestamp,epoch_timestamp,message,timestamp_description,threat_type,threat_level,,,
2020-05-12T07:49:00,1589249940,SearchFilterHo,Process Created,Process,None,,,
2020-05-12T07:48:29,1589249909,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:48:29,1589249909,gpsvc,Process Created,Process,None,,,
2020-05-12T07:48:26,1589249906,MicrosoftEdgeC,Process Created,Process,None,,,
2020-05-12T07:48:26,1589249906,MicrosoftEdgeS,Process Created,Process,None,,,
2020-05-12T07:48:26,1589249906,browser_broker,Process Created,Process,None,,,
2020-05-12T07:48:26,1589249906,Windows.WARP.J,Process Created,Process,None,,,
2020-05-12T07:48:26,1589249906,Windows.WARP.J,Process Created,Process,None,,,
2020-05-12T07:48:25,1589249905,MicrosoftEdge.,Process Created,Process,None,,,
2020-05-12T07:48:24,1589249904,firefox.exe,Process Created,Process,None,,,
2020-05-12T07:48:24,1589249904,firefox.exe,Process Created,Process,None,,,
2020-05-12T07:48:23,1589249903,TCP 9151,Port Opened,Listening Port,None,,,
2020-05-12T07:48:23,1589249903,tor.exe,Process Created,Process,None,,,
2020-05-12T07:48:22,1589249902,firefox.exe,Process Created,Process,None,,,
2020-05-12T07:48:20,1589249900,firefox.exe,Process Created,Process,None,,,
2020-05-12T07:47:50,1589249870,WmiPrvSE.exe,Process Created,Process,None,,,
2020-05-12T07:46:40,1589249800,SearchProtocol,Process Created,Process,None,,,
2020-05-12T07:44:32,1589249672,MicrosoftEdgeC,Process Created,Process,None,,,
2020-05-12T07:43:42,1589249622,Regshot-x64-AN,Process Created,Process,None,,,
2020-05-12T07:43:16,1589249596,WindowsInterna,Process Created,Process,None,,,
2020-05-12T07:43:13,1589249593,SkypeBackgroun,Process Created,Process,None,,,
2020-05-12T07:43:02,1589249582,SkypeApp.exe,Process Created,Process,None,,,
2020-05-12T07:42:51,1589249571,WUDFHost.exe,Process Created,Process,None,,,
2020-05-12T07:42:38,1589249558,stisvc,Process Created,Process,None,,,
2020-05-12T07:42:38,1589249558,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:42:38,1589249558,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:42:38,1589249558,DeviceAssociationService,Process Created,Process,None,,,
2020-05-12T07:42:35,1589249555,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:42:22,1589249542,UDP 5353,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:42:22,1589249542,UDP 137,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:42:22,1589249542,UDP 5355,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:42:22,1589249542,UDP 5355,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:42:22,1589249542,UDP 5353,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:42:20,1589249540,UDP 1900,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:42:20,1589249540,UDP 61083,Port Opened,Listening Port,None,,,
2020-05-12T07:42:20,1589249540,UDP 1900,Port Opened,Listening Port,Good. Item is on Good List,,,
2020-05-12T07:42:20,1589249540,UDP 61080,Port Opened,Listening Port,None,,,
2020-05-12T07:42:20,1589249540,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:42:20,1589249540,lmhosts,Process Created,Process,None,,,
2020-05-12T07:38:27,1589249307,smartscreen.ex,Process Created,Process,None,,,
2020-05-12T07:38:05,1589249285,RuntimeBroker.,Process Created,Process,None,,,
2020-05-12T07:38:04,1589249284,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:38:04,1589249284,ShellExperienc,Process Created,Process,None,,,
2020-05-12T07:38:02,1589249282,DsSvc,Process Created,Process,None,,,
2020-05-12T07:38:02,1589249282,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:37:50,1589249270,NisSrv.exe,Process Created,Process,Suspicious. Run from Program Data,,,
2020-05-12T07:37:46,1589249266,MsMpEng.exe,Process Created,Process,Suspicious. Run from Program Data,,,
2020-05-12T07:32:49,1589248969,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:32:49,1589248969,PhoneSvc,Process Created,Process,None,,,
2020-05-12T07:32:48,1589248968,HxTsr.exe,Process Created,Process,None,,,
2020-05-12T07:32:23,1589248943,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:32:23,1589248943,LicenseManager,Process Created,Process,None,,,
2020-05-12T07:32:20,1589248940,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:32:20,1589248940,SEMgrSvc,Process Created,Process,None,,,
2020-05-12T07:32:04,1589248924,RuntimeBroker.,Process Created,Process,None,,,
2020-05-12T07:31:22,1589248882,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:30:14,1589248814,WmiPrvSE.exe,Process Created,Process,None,,,
2020-05-12T07:30:08,1589248808,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:30:08,1589248808,SSDPSRV,Process Created,Process,None,,,
2020-05-12T07:30:07,1589248807,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:30:02,1589248802,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:30:02,1589248802,InstallService,Process Created,Process,None,,,
2020-05-12T07:29:49,1589248789,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:29:49,1589248789,lfsvc,Process Created,Process,None,,,
2020-05-12T07:29:49,1589248789,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:29:49,1589248789,DisplayEnhancementService,Process Created,Process,None,,,
2020-05-12T07:29:26,1589248766,audiodg.exe,Process Created,Process,None,,,
2020-05-12T07:29:24,1589248764,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:29:24,1589248764,BthAvctpSvc,Process Created,Process,None,,,
2020-05-12T07:29:21,1589248761,UnistoreSvc_46576,Process Created,Process,None,,,
2020-05-12T07:29:21,1589248761,OneSyncSvc_46576,Process Created,Process,None,,,
2020-05-12T07:29:21,1589248761,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:29:21,1589248761,PimIndexMaintenanceSvc_46576,Process Created,Process,None,,,
2020-05-12T07:29:21,1589248761,UserDataSvc_46576,Process Created,Process,None,,,
2020-05-12T07:29:20,1589248760,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:29:20,1589248760,UsoSvc,Process Created,Process,None,,,
2020-05-12T07:29:20,1589248760,svchost.exe,Process Created,Process,None,,,
2020-05-12T07:29:20,1589248760,wscsvc,Process Created,Process,None,,,
2020-05-12T07:29:18,1589248758,dllhost.exe,Process Created,Process,None,,,
2020-05-12T07:29:17,1589248757,SgrmBroker.exe,Process Created,Process,None,,,
2020-05-12T07:28:27,1589248707,OneDrive.exe,Process Created,Process,Suspicious. Run from App Data,,,
2020-05-12T07:28:26,1589248706,SecurityHealth,Process Created,Process,None,,,
2020-05-12T07:28:26,1589248706,SecurityHealth,Process Created,Process,None,,,
2020-05-12T07:28:18,1589248698,camsvc,Process Created,Process,None,,,
